category,link
US general,http://talkingpointsmemo.com/feed/livewire
US general,http://www.salon.com/category/news/feed/rss/
US general,http://time.com/newsfeed/feed/
US general,http://feeds.foxnews.com/foxnews/latest?format=xml
US general,http://mashable.com/us-world/rss/
US tech,http://www.huffingtonpost.com/feeds/verticals/technology/news.xml
US tech,http://rss.cnn.com/rss/cnn_tech.rss
US tech,http://rss.nytimes.com/services/xml/rss/nyt/Technology.xml
US tech,http://feeds.foxnews.com/foxnews/tech
US tech,http://www.theverge.com/rss/group/features/index.xml
US tech,http://feeds.feedburner.com/TechCrunch/
US tech,http://feeds.wired.com/wired/index
US tech,http://mashable.com/category/rss/
US tech,http://www.cnet.com/rss/news/
US tech,http://www.cnet.com/rss/iphone-update/
US tech,http://www.cnet.com/rss/android-update/
US tech,http://online.wsj.com/xml/rss/3_7455.xml
US tech,http://www.npr.org/rss/rss.php?id=1019
US tech,http://www.macworld.com/index.rss
US tech,http://www.pcworld.com/index.rss
US tech,http://recode.net/category/general/feed/
US tech,http://recode.net/category/mobile/feed/
US tech,http://recode.net/category/security/feed/
US tech,http://recode.net/category/enterprise/feed/
US tech,http://www.engadget.com/rss.xml
US tech,http://feeds.gawker.com/gizmodo/full
US tech,http://feeds.feedburner.com/techcrunch/startups?format=xml
US tech,http://feeds.feedburner.com/TechCrunch/Gaming?format=xml
US tech,http://feeds.venturebeat.com/VentureBeat
US tech,http://feeds.venturebeat.com/smallbiz
US tech,http://feeds.gawker.com/valleywag/full
US tech,http://www.latimes.com/business/technology/rss2.0.xml
US tech,http://feeds.bizjournals.com/industry_7
US tech,http://feeds.abcnews.com/abcnews/technologyheadlines
US tech,http://www.buzzfeed.com/tech.xml
US tech,http://feeds.webservice.techradar.com/us/rss/new
US tech,http://gigaom.com/feed/
US tech,http://feeds.arstechnica.com/arstechnica/gadgets
US tech,http://www.geek.com/feed/
US tech,http://feeds.reuters.com/reuters/technologyNews?format=xml
US tech,http://www.computerweekly.com/rss/All-Computer-Weekly-content.xml
US tech,http://techrepublic.com.feedsportal.com/c/35463/f/670841/index.rss
US tech,http://zdnet.com.feedsportal.com/c/35462/f/675634/index.rss
US tech,http://www.forbes.com/technology/feed/
US tech,http://time.com/tech/feed/
US tech,http://rss.feedsportal.com/c/270/f/3547/index.rss
US tech,http://rssfeeds.usatoday.com/usatoday-TechTopStories
